r2_values,variance_actual,variance_pred,mean_actual,mean_pred,range_actual,range_pred,rounds,var_ratio,mean_diff,range_ratio
-226744.515625,0.0302734375,5934.761669185305,14999.96875,14969.511203125,1.0,303.8739999999998,43,196038.5790079275,-30.457546875000844,303.8739999999998
-2884.922607421875,0.25,658.5841651865222,14999.5,14992.07178125,1.0,142.32699999999932,18,2634.336660746089,-7.42821874999936,142.32699999999932
-143.278076171875,0.2490234375,33.331687147458545,14999.53125,14998.51809375,1.0,24.154999999998836,42,133.84959858430412,-1.013156249999156,24.154999999998836
-45.647300720214844,0.2021484375,5.381039001708789,14999.71875,14998.057921875,1.0,5.607999999998356,39,26.61924607608599,-1.6608281249991705,5.607999999998356
-35.22869873046875,0.21484375,6.631872858398149,14999.6875,15000.25121875,1.0,16.048000000000684,29,30.86835366818048,0.5637187499996799,16.048000000000684
-30.06954574584961,0.1318359375,4.017851765380246,14999.15625,14999.240234375,1.0,11.186999999999898,38,30.476149687032382,0.083984375,11.186999999999898
-5.974267482757568,0.1318359375,0.8752367770995606,14999.15625,14999.398890625,1.0,3.7150000000001455,40,6.638833035184815,0.2426406249996944,3.7150000000001455
-4.469603538513184,0.0302734375,0.13895965014651496,14999.96875,14999.874328124999,1.0,1.6090000000003783,41,4.590151024194559,-0.09442187500098953,1.6090000000003783
-1.78566575050354,0.2490234375,0.3147171696779452,14999.46875,15000.133703125,1.0,2.1820000000006985,26,1.2638054186282976,0.6649531250004657,2.1820000000006985
-1.2946927547454834,0.25,0.18162406811534548,14999.5,14999.853953124999,1.0,2.084000000000742,19,0.7264962724613819,0.35395312499895226,2.084000000000742
0.0,0.0,0.09878110937498732,15000.0,14999.557875,0.0,1.2089999999989232,14,inf,-0.442124999999578,inf
0.0,0.0,0.05361941796868547,15000.0,14999.8450625,0.0,1.161999999998443,30,inf,-0.15493749999950523,inf
0.0,0.0,1.222807671874997,15000.0,14999.090124999999,0.0,3.9509999999991123,37,inf,-0.9098750000011933,inf
0.0,0.0,2.001900108398664,15000.0,14999.23221875,0.0,4.968000000000757,13,inf,-0.767781250000553,inf
0.0,0.0,0.13698585937493216,15000.0,14999.9015,0.0,2.2634999999991123,21,inf,-0.09850000000005821,inf
0.0,0.0,16.02370379589807,15000.0,14997.83896875,0.0,17.667999999999665,2,inf,-2.1610312499997235,inf
0.0,0.0,2.738040600585943,15000.0,14998.83934375,0.0,5.4100000000016735,36,inf,-1.1606562500001019,inf
0.0,0.0,125168.81212204692,15000.0,14906.904625,0.0,1470.2129999999997,12,inf,-93.09537500000079,inf
0.0,0.0,16.26361566772448,15000.0,14998.824390625,0.0,22.060999999999694,20,inf,-1.1756093749991123,inf
0.0,0.0,8676.163643290758,15000.0,14973.784171874999,0.0,396.60200000000077,3,inf,-26.21582812500128,inf
0.0,0.0,0.04353131249994057,15000.0,14999.7345,0.0,0.9549999999999272,4,inf,-0.2654999999995198,inf
0.0,0.0,0.10117706933583892,15000.0,14999.868156249999,0.0,1.5819999999985157,44,inf,-0.13184375000128057,inf
0.0,0.0,0.4229305068358557,14999.0,15000.040156250001,0.0,3.9570000000003347,27,inf,1.0401562500010186,inf
0.0,0.0,86268.09645144438,15000.0,14921.302593749999,0.0,1219.478000000001,52,inf,-78.69740625000122,inf
0.0,0.0,1.7328946630861202,14999.0,14999.79765625,0.0,10.252000000000407,28,inf,0.7976562500007276,inf
0.0,0.0,164.45780095214653,15000.0,14993.70571875,0.0,45.253999999998996,5,inf,-6.294281250000495,inf
0.0,0.0,5.549092246092629,15000.0,14999.2144375,0.0,8.755999999999403,45,inf,-0.785562499999287,inf
0.0,0.0,2.0202672333983878,15000.0,15000.38946875,0.0,5.2629999999990105,10,inf,0.38946874999965075,inf
0.0,0.0,0.4864007490234221,15000.0,15000.325468750001,0.0,2.206000000000131,15,inf,0.32546875000116415,inf
0.0,0.0,0.06289188671877097,15000.0,14999.8275625,0.0,1.077499999999418,34,inf,-0.17243749999943248,inf
0.0,0.0,0.12850454687503804,15000.0,14999.790125,0.0,1.5410000000010768,1,inf,-0.20987500000046566,inf
0.0,0.0,1.2151744208985713,15000.0,14999.61078125,0.0,4.640999999999622,22,inf,-0.3892187500005093,inf
0.0,0.0,16937.079365837675,15000.0,14976.535671875,0.0,748.3790000000008,25,inf,-23.464328124999156,inf
0.0,0.0,34543.30302343356,15000.0,14914.5335625,0.0,596.2279999999992,6,inf,-85.4664374999993,inf
0.0,0.0,1.098517171874537,15000.0,14999.395875,0.0,4.1489999999994325,46,inf,-0.6041249999998399,inf
0.0,0.0,1.1498587968749934,15000.0,14999.226875,0.0,3.7660000000014406,9,inf,-0.773124999999709,inf
0.0,0.0,28.395089165771168,15000.0,14998.634828125,0.0,31.247999999999593,33,inf,-1.3651718750006694,inf
0.0,0.0,74866.13265882208,15000.0,14896.385828125,0.0,839.5640000000003,49,inf,-103.61417187500047,inf
0.0,0.0,0.009298834960940121,15000.0,14999.92490625,0.0,0.3500000000003638,50,inf,-0.07509374999972351,inf
0.0,0.0,72.26690112109641,15000.0,14998.0570625,0.0,49.5520000000015,23,inf,-1.942937499999971,inf
0.0,0.0,58.09010534155123,15000.0,14997.607796875,0.0,32.32999999999993,17,inf,-2.3922031250003783,inf
0.0,0.0,0.035303241210967604,15000.0,14999.839406250001,0.0,0.5779999999995198,47,inf,-0.16059374999895226,inf
0.0,0.0,0.9012402458493378,15000.0,15000.564609375,0.0,2.6959999999999127,7,inf,0.5646093750001455,inf
0.0,0.0,0.01670229589843307,15000.0,14999.830218750001,0.0,0.5289999999986321,48,inf,-0.16978124999877764,inf
0.0,0.0,80.4294305720233,15000.0,14995.316171875002,0.0,24.18000000000029,8,inf,-4.683828124998399,inf
0.0,0.0,0.10131789428709792,15000.0,15000.070140625001,0.0,1.2049999999999272,32,inf,0.07014062500093132,inf
0.0,0.0,0.4157417304688658,15000.0,14999.747437500002,0.0,3.2659999999996217,16,inf,-0.25256249999802094,inf
0.0,0.0,0.04656371484370356,15000.0,14999.805812499999,0.0,1.0319999999992433,51,inf,-0.19418750000113505,inf
0.0,0.0,3.2669336286614232,15000.0,15000.541359375,0.0,7.3069999999988795,11,inf,0.5413593749999563,inf
0.0,0.0,0.005519581787091391,15000.0,14999.885140625,0.0,0.29799999999886495,35,inf,-0.11485937500037835,inf
0.0,0.0,56.55034163964928,15000.0,14998.51371875,0.0,31.811999999999898,0,inf,-1.4862812499995925,inf
0.0,0.0,0.8430860624997859,15000.0,14999.597000000002,0.0,4.65099999999984,24,inf,-0.4029999999984284,inf
0.0,0.0,1.959993905273694,15000.0,15000.32096875,0.0,6.825000000000728,31,inf,0.3209687500002474,inf
